answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4,m_0,m_1,m_2,m_3,m_4
0.0,0.0,0.3333333333333333,0.058823529411764705,7799,execute_agentic_rag,execute_agentic_rag,,,,Espresso Preis bei Anton's Pizza,Espresso Preis bei Il sogno de Anton,,,,4,4.0,,,,2,2.0,,,
0.875,1.0,0.8333333333333334,0.15384615384615385,4605,execute_agentic_rag,,,,,Welche Restaurants bieten Risotto an und wie sind die Preise?,,,,,7,,,,,2,,,,
0.875,0.6363636363636364,0.375,0.14285714285714285,8839,execute_agentic_rag,execute_agentic_rag,,,,klassisches französisches Menü Struktur und die Rolle des Weins,italienisches Menü Struktur und Rolle des Weins,,,,4,3.0,,,,2,2.0,,,
0.7142857142857143,1.0,0.8571428571428571,0.18181818181818182,3696,execute_agentic_rag,,,,,UNESCO-Auszeichnungen für französische Esskultur und mexikanische Küche mit Jahresangabe,,,,,6,,,,,2,,,,
0.625,0.8333333333333334,0.75,0.3333333333333333,4401,execute_agentic_rag,,,,,drei Grundpfeiler der mexikanischen heiligen Fünf und Vergleich mit Grundpfeilern der italienischen Küche,,,,,7,,,,,2,,,,
0.0,0.0,0.0,0.0,4415,execute_agentic_rag,,,,,Preise von Prosecco Il sogno de Anton und französischem Rotwein Chez Anton vergleichen,,,,,5,,,,,2,,,,
1.0,1.0,0.6666666666666666,0.3333333333333333,3432,execute_agentic_rag,,,,,Taco-Varianten bei Tönis Tacos und Grundelement der mexikanischen Küche,,,,,5,,,,,2,,,,
0.75,0.6666666666666666,0.75,0.08695652173913043,8489,execute_agentic_rag,execute_agentic_rag,,,,italienische typische Desserts laut Küchenbeschreibung,Desserts Karte Il sogno de Anton,,,,4,6.0,,,,2,2.0,,,
1.0,1.0,1.0,0.2222222222222222,10069,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Klassiker Cocktail laut Cocktail-Dokument,Cocktail Karte Restaurants mit Preis Martini Manhattan Margarita Daiquiri,Restaurantname Karte Margarita,,,4,6.0,4.0,,,2,2.0,2.0,,
0.125,0.2222222222222222,0.625,0.1111111111111111,9177,execute_agentic_rag,execute_agentic_rag,,,,Bedeutung von Espresso in der italienischen Kultur,Espresso Restaurantkarten Preis wie oft auf Speisekarten,,,,3,10.0,,,,2,2.0,,,
0.0,0.0,0.0,0.0,3840,execute_agentic_rag,,,,,"Gibt es Cappuccino bei Anton's Pizza oder Chez Anton, und zu welchem Preis?",,,,,6,,,,,2,,,,
0.0,0.5,0.3333333333333333,0.1111111111111111,4243,execute_agentic_rag,,,,,"Mineralwasser Preis und Gebinde Anton's Pizza, Chez Anton, Il sogno de Anton vergleichen",,,,,5,,,,,2,,,,
1.0,0.3333333333333333,1.0,0.2,6955,execute_agentic_rag,execute_agentic_rag,,,,Rindfleisch Hauptgerichte bei Chez Anton,Rindfleisch Hauptgerichte Il sogno de Anton,,,,3,3.0,,,,2,2.0,,,
0.5,0.125,0.5,0.2,3206,execute_agentic_rag,,,,,EU-Bezug italienische und französische Küche,,,,,4,,,,,2,,,,
