answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4,m_0,m_1,m_2,m_3,m_4
0.6666666666666666,0.75,0.625,0.15384615384615385,4722,execute_agentic_rag,,,,,Welche Restaurants bieten Risotto an? Preise des günstigsten und teuersten Risotto.,,,,,7,,,,,1,,,,
0.7777777777777778,0.43333333333333335,0.625,0.15789473684210525,10520,execute_agentic_rag,execute_agentic_rag,,,,klassisches französisches Menü Aufbau und Weinbegleitung,italienisches Menüfolge Struktur und Weinbegleitung Vergleich mit Frankreich,,,,5,5.0,,,,1,1.0,,,
0.6,1.0,0.8,0.3333333333333333,3406,execute_agentic_rag,,,,,UNESCO-Auszeichnungen französische Esskultur mexikanische Küche Jahr,,,,,6,,,,,1,,,,
0.0,0.0,0.0,0.0,4118,execute_agentic_rag,,,,,Preise Prosecco Il sogno de Anton und französischer Rotwein Chez Anton vergleichen,,,,,6,,,,,1,,,,
1.0,0.8333333333333334,0.8333333333333334,0.2857142857142857,3581,execute_agentic_rag,,,,,Taco-Varianten bei Tönis Tacos,,,,,6,,,,,1,,,,
0.0,0.0,0.0,0.0,3469,execute_agentic_rag,,,,,Führen Anton's Pizza und Chez Anton Cappuccino und zu welchem Preis?,,,,,6,,,,,1,,,,
0.3333333333333333,0.5714285714285714,0.3333333333333333,0.1,4015,execute_agentic_rag,,,,,"Mineralwasser Preise und Gebinde bei Anton's Pizza, Chez Anton und Il sogno de Anton",,,,,8,,,,,1,,,,
0.0,0.0,0.0,0.07142857142857142,4742,execute_agentic_rag,,,,,Kaffeevarianten und Heißgetränke auf Restaurantkarten mit Preisen,,,,,10,,,,,1,,,,
0.0,0.6666666666666666,0.0,0.0,4042,execute_agentic_rag,,,,,traditionelle französische Gemüsespeise länderdokument beschreibung menükarte preis,,,,,7,,,,,1,,,,
1.0,1.0,1.0,0.2727272727272727,3967,execute_agentic_rag,,,,,Panna Cotta italienisches Küchenporträt und Speisekarte Il sogno de Anton Preis,,,,,7,,,,,1,,,,
0.8,1.0,0.75,0.125,3790,execute_agentic_rag,,,,,Anton's Pizza Küchenporträt Einfachheit Herkunft typische Pizza Variante,,,,,6,,,,,1,,,,
0.6,0.8333333333333334,0.2,0.07407407407407407,14147,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Chez Anton Suppen auf der Karte,italienische Küche Arme-Leute-Suppe Prinzip Beispiele,Soupe du Terrier Zutaten und Konzept bei Chez Anton,,,5,6.0,3.0,,,1,2.0,1.0,,
0.6666666666666666,0.6666666666666666,0.3333333333333333,0.1111111111111111,3444,execute_agentic_rag,,,,,italienische Vorspeise Käseprodukt wichtiger Käse italienische Küche,,,,,5,,,,,1,,,,
1.0,0.25,1.0,0.2777777777777778,8191,execute_agentic_rag,execute_agentic_rag,,,,Risotto norditalienische Spezialität Charakterisierung,Risotto Gerichte Preise Restaurantmenü,,,,4,6.0,,,,1,1.0,,,
1.0,0.5,1.0,0.125,3335,execute_agentic_rag,,,,,heilige Fünf mexikanische Küche,,,,,5,,,,,1,,,,
1.0,0.0,0.0,0.0,2875,execute_agentic_rag,,,,,Gastronomisches Mahl der Franzosen UNESCO-Weltkulturerbe seit wann,,,,,5,,,,,0,,,,
1.0,0.6666666666666666,1.0,0.2857142857142857,4182,execute_agentic_rag,,,,,Tönis Tacos Speisekarte Gerichte und Preise,,,,,5,,,,,1,,,,
