,answer_recall,answer_precision,retrieval_recall,retrieval_precision
0,0.0,0.0,0.0,0.0
1,0.6666666666666666,0.5,0.6666666666666666,0.2
2,0.8,0.3611111111111111,0.0,0.2
3,0.0,0.0,0.0,0.0
4,0.8333333333333334,0.4375,0.6666666666666666,0.2
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.5,0.0625,0.5,0.0
8,0.0,0.0,0.0,0.0
9,0.125,0.35714285714285715,0.375,0.4
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.4,0.0,0.4,0.25
13,0.5,0.08333333333333333,0.5,0.16666666666666666
14,0.5,0.29411764705882354,0.16666666666666666,0.3333333333333333
15,0.5,0.5555555555555556,0.42857142857142855,1.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.14285714285714285
19,0.3333333333333333,0.75,0.0,0.0
20,0.5,0.0,0.5,0.14285714285714285
21,1.0,0.8571428571428571,0.8,0.3333333333333333
22,0.0,0.0,0.0,0.0
23,0.5,0.08333333333333333,0.25,0.4
24,0.2,0.0,0.2,0.25
25,0.6,0.11764705882352941,0.5,0.2
26,0.7142857142857143,0.3333333333333333,1.0,0.2
27,0.5,0.0,0.5,0.14285714285714285
28,0.5,0.0,0.5,0.2
29,0.2,0.4444444444444444,0.4,0.5
30,1.0,0.0,1.0,0.2
31,0.0,0.0,0.0,0.0
32,1.0,1.0,1.0,0.3333333333333333
33,0.0,0.0,0.0,0.0
34,0.0,0.03125,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.06451612903225806,0.0,0.0
37,0.6666666666666666,0.42105263157894735,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.5,0.2,1.0,1.0
