answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4
0.5714285714285714,0.4,0.7142857142857143,0.14285714285714285,7675,execute_agentic_rag,execute_agentic_rag,,,,Welche Restaurants bieten Risotto auf ihrer Speisekarte an?,Risotto Preise bei Anton's Pizza - Doggish Delights günstigstes und teuerstes Gericht,,,,8,4.0,,,
0.7777777777777778,0.1,0.6666666666666666,0.3125,5841,execute_agentic_rag,,,,,Klassische Struktur französisches Menü und Rolle des Weins im Vergleich zur italienischen Menüfolge,,,,,6,,,,
0.6,1.0,1.0,0.2857142857142857,3033,execute_agentic_rag,,,,,UNESCO-Auszeichnungen französische Esskultur und mexikanische Küche mit Jahreszahl,,,,,7,,,,
0.0,0.0,0.0,0.0,4099,execute_agentic_rag,,,,,Preis Prosecco Il sogno de Anton und französischer Rotwein Chez Anton vergleichen,,,,,7,,,,
1.0,0.5714285714285714,0.6666666666666666,0.2222222222222222,3602,execute_agentic_rag,,,,,Taco-Varianten bei Tönis Tacos und Grundelement der mexikanischen Küche laut Beschreibung,,,,,6,,,,
0.25,0.3333333333333333,0.0,0.0,6956,execute_agentic_rag,execute_agentic_rag,,,,Cappuccino Preis Anton's Pizza Chez Anton,Chez Anton Getränkekarte Cappuccino Preis,,,,6,6.0,,,
0.3333333333333333,0.2857142857142857,1.0,0.125,3808,execute_agentic_rag,,,,,"Mineralwasser Preis und Gebinde Anton's Pizza, Chez Anton, Il sogno de Anton",,,,,6,,,,
0.0,0.8,0.4444444444444444,0.06666666666666667,5627,execute_agentic_rag,,,,,Kaffeevarianten und Heißgetränke Restaurants Speisekarten Preise Vergleich,,,,,8,,,,
0.6,1.0,0.8,0.05,7623,execute_agentic_rag,execute_agentic_rag,,,,traditionelle französische Gemüsespeise im Länderdokument,Menükarte französisches Restaurant Ratatouille Preis,,,,5,8.0,,,
1.0,0.3333333333333333,1.0,0.25,3905,execute_agentic_rag,,,,,Panna Cotta italienisches Küchenporträt und Il sogno de Anton Speisekarte Preis,,,,,8,,,,
1.0,1.0,0.8,0.1,4110,execute_agentic_rag,,,,,Küchenporträt Anton's Pizza Einfachheit Herkunft klassische Pizza,,,,,6,,,,
0.6,0.6666666666666666,0.2,0.08695652173913043,12564,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Suppe Chez Anton Menü,italienische Küche Arme-Leute-Suppe Prinzip Beispiele,Soupe du Terrier Chez Anton Zutaten Zubereitung einfache Suppe,,,5,7.0,3.0,,
0.75,0.5,0.0,0.0,3424,execute_agentic_rag,,,,,zentraler Käse für italienische Vorspeise und Küchenporträt,,,,,6,,,,
1.0,0.1875,1.0,0.2631578947368421,8386,execute_agentic_rag,execute_agentic_rag,,,,Risotto als norditalienische Spezialität charakterisiert,Risotto Gerichte mit Preisen aus einem anderen Menü,,,,5,6.0,,,
1.0,0.3333333333333333,1.0,0.2,2916,execute_agentic_rag,,,,,heilige Fünf der mexikanischen Küche,,,,,5,,,,
1.0,1.0,0.0,0.0,3098,execute_agentic_rag,,,,,Gastronomisches Mahl der Franzosen UNESCO Weltkulturerbe seit wann,,,,,5,,,,
0.5,0.4,1.0,0.2857142857142857,3414,execute_agentic_rag,,,,,zwei Gerichte von der Speisekarte von Tönis Tacos und deren Preise,,,,,5,,,,
