,answer_recall,answer_precision,retrieval_recall,retrieval_precision
0,1.0,1.0,1.0,0.2
1,1.0,0.8571428571428571,0.5,0.2
2,1.0,0.35,0.3,0.2
3,0.6,1.0,1.0,0.3
4,0.625,0.5,0.75,0.3
5,0.0,0.09090909090909091,0.0,0.0
6,1.0,0.5454545454545454,0.6666666666666666,0.2
7,0.75,0.4,0.5,0.1
8,1.0,1.0,0.6666666666666666,0.2
9,0.375,0.3333333333333333,0.625,0.4
10,1.0,1.0,0.75,0.1
11,0.3333333333333333,0.125,0.3333333333333333,0.1
12,1.0,0.6666666666666666,1.0,0.2
13,0.5,0.15384615384615385,1.0,0.2
14,1.0,0.8235294117647058,0.5,0.2
15,0.5714285714285714,0.45454545454545453,0.8571428571428571,0.3
16,0.8333333333333334,0.2222222222222222,0.16666666666666666,0.1
17,0.4,0.4,0.4,0.1
18,0.0,0.21428571428571427,0.0,0.1
19,0.3333333333333333,0.3,0.0,0.0
20,1.0,0.5,0.5,0.3
21,1.0,0.8571428571428571,0.8,0.1
22,1.0,0.375,1.0,0.3
23,0.5,0.0,0.25,0.1
24,1.0,1.0,0.3333333333333333,0.1
25,0.8,0.3448275862068966,1.0,0.5
26,0.8571428571428571,0.7142857142857143,1.0,0.2
27,0.6666666666666666,0.6,0.3333333333333333,0.1
28,0.0,0.0,0.25,0.1
29,1.0,0.45,0.6,0.2
30,1.0,0.0,1.0,0.1
31,1.0,0.6666666666666666,0.6666666666666666,0.1
32,1.0,0.5,1.0,0.1
33,1.0,0.0,1.0,0.1
34,1.0,1.0,1.0,0.1
35,1.0,1.0,1.0,0.1
36,1.0,0.5,1.0,0.1
37,1.0,0.36666666666666664,0.0,0.0
38,1.0,0.0,1.0,0.0
39,0.5,0.0,1.0,0.2
