,answer_recall,answer_precision,retrieval_recall,retrieval_precision
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2
1,0.75,0.5,0.6666666666666666,0.2
2,0.875,0.3333333333333333,0.3,0.2
3,0.6,0.8,1.0,0.3
4,0.625,0.5714285714285714,1.0,0.3
5,0.0,0.125,0.0,0.0
6,1.0,0.6,0.8333333333333334,0.3
7,0.5,0.2,0.5,0.1
8,0.3333333333333333,0.0,0.3333333333333333,0.1
9,0.125,0.2222222222222222,0.125,0.3
10,0.0,0.0,0.0,0.0
11,0.3333333333333333,0.5,0.3333333333333333,0.1
12,1.0,0.8333333333333334,1.0,0.2
13,0.5,0.07692307692307693,0.5,0.1
14,1.0,0.21739130434782608,0.5,0.2
15,0.6666666666666666,0.5,0.6666666666666666,0.3
16,0.16666666666666666,0.0,0.16666666666666666,0.1
17,0.4,0.38461538461538464,0.25,0.1
18,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.2
19,0.4,0.5,0.0,0.0
20,1.0,0.6,0.6666666666666666,0.2
21,1.0,1.0,0.8,0.1
22,1.0,0.2857142857142857,1.0,0.2
23,0.75,0.1,0.25,0.2
24,0.0,0.0,0.4,0.1
25,0.75,0.26666666666666666,1.0,0.4
26,0.7142857142857143,1.0,0.8571428571428571,0.2
27,0.6666666666666666,0.6666666666666666,0.5,0.1
28,0.0,0.058823529411764705,0.5,0.1
29,0.6,0.11538461538461539,0.6,0.2
30,1.0,0.0,1.0,0.1
31,1.0,0.6666666666666666,1.0,0.1
32,1.0,1.0,1.0,0.1
33,1.0,0.0,1.0,0.1
34,1.0,1.0,1.0,0.1
35,1.0,1.0,1.0,0.1
36,1.0,0.5,1.0,0.1
37,1.0,0.3181818181818182,0.8333333333333334,0.1
38,1.0,0.0,1.0,0.0
39,0.5,0.2,1.0,0.2
